Date,Day_name,Open,Gap_Point,Gap_Point(%),Open_Gap_Type,Remarks,Gap_Fill_Point,Gap_Fill_Point%,Low,High,Day_Range,Close,Day_Range(%)
2021-07-12,Monday,35386,115.7,0.33,"MEDIUM GAP UP","NOT FILL",-233.95,-202.29,35152.05,35569.35,417.3,35311.55,1.18
2021-07-09,Friday,35326.3,-84.7,-0.24,"FLAT DOWN","NOT FILL",45.7,53.96,34980,35372,392,35270.35,1.11
2021-07-08,Thursday,35712,-153.6,-0.43,"MEDIUM GAP DOWN","GAP FILL UP",232.25,151.2,35261.6,35944.25,682.65,35411,1.93
2021-07-07,Wednesday,35599.7,-77.7,-0.22,"FLAT DOWN","GAP FILL UP",299.3,385.2,35470.1,35899,428.9,35865.6,1.2
2021-07-06,Tuesday,35273.95,-63,-0.18,"FLAT DOWN","GAP FILL UP",651.05,1034.23,35273.95,35925,651.05,35677.4,1.82
2021-07-05,Monday,35080,128.3,0.37,"MEDIUM GAP UP","NOT FILL",-24.4,-19.01,35055.6,35366,310.4,35336.9,0.88
2021-07-02,Friday,34934,80.9,0.23,"FLAT UP","NOT FILL",-174,-214.95,34760,35099,339,34951.65,0.97
2021-07-01,Thursday,34975.75,38.2,0.11,"FLAT UP","NOT FILL",-164.9,-431.68,34810.85,35086.35,275.5,34853.05,0.79
2021-06-30,Wednesday,35227.85,41.8,0.12,"FLAT UP","NOT FILL",-335.35,-803.23,34892.5,35392.3,499.8,34937.55,1.43
2021-06-29,Tuesday,35250.5,-265.7,-0.75,"BIG GAP DOWN","GAP FILL UP",216.6,81.54,35090.05,35467.1,377.05,35186.1,1.07
2021-06-28,Monday,35698.95,210.3,0.59,"MEDIUM GAP UP","NOT FILL",-348.95,-165.93,35350,35990,640,35516.15,1.8
2021-06-25,Friday,35050.15,223.2,0.64,"MEDIUM GAP UP","NOT FILL",-49.05,-21.98,35001.1,35665.5,664.4,35488.65,1.87
2021-06-24,Thursday,34699.25,87.3,0.25,"FLAT UP","NOT FILL",-119.95,-137.32,34579.3,34970,390.7,34827,1.12
2021-06-23,Wednesday,34949.7,173.9,0.5,"MEDIUM GAP UP","NOT FILL",-394.6,-226.91,34555.1,34972,416.9,34611.9,1.2
2021-06-22,Tuesday,35110,198.9,0.57,"MEDIUM GAP UP","NOT FILL",-390.9,-196.53,34719.1,35286.75,567.65,34775.8,1.63
2021-06-21,Monday,34388,-208.8,-0.6,"MEDIUM GAP DOWN","GAP FILL UP",561,268.74,33955.1,34949,993.9,34911.1,2.85
2021-06-18,Friday,34800,117.8,0.34,"MEDIUM GAP UP","NOT FILL",-863,-732.6,33937,34837.85,900.85,34596.75,2.6
2021-06-17,Thursday,34699.95,-401.4,-1.14,"BIG GAP DOWN","NOT FILL",270.1,67.29,34486.4,34970.05,483.65,34682.2,1.39
2021-06-16,Wednesday,35233,-97.4,-0.28,"FLAT DOWN","GAP FILL UP",230.9,237.06,35005,35463.9,458.9,35101.35,1.31
2021-06-15,Tuesday,35035,-30.1,-0.09,"FLAT DOWN","GAP FILL UP",390.95,1298.84,34960.6,35425.95,465.35,35330.4,1.32
2021-06-14,Monday,35024,-145.3,-0.41,"MEDIUM GAP DOWN","GAP FILL UP",106,72.93,34455,35130,675,35065.1,1.92
2021-06-11,Friday,35420,153.7,0.44,"MEDIUM GAP UP","NOT FILL",-442.3,-287.86,34977.7,35474.95,497.25,35169.35,1.41
2021-06-10,Thursday,34980,50.7,0.15,"FLAT UP","NOT FILL",-150,-296.15,34830,35320,490,35266.35,1.39
2021-06-09,Wednesday,35281,15.7,0.04,"FLAT UP","NOT FILL",-523.35,-3333.44,34757.65,35547.6,789.95,34929.35,2.26
2021-06-08,Tuesday,35536.8,-85.4,-0.24,"FLAT DOWN","NOT FILL",33,38.64,35123,35569.8,446.8,35265.3,1.27
2021-06-07,Monday,35540.05,31.6,0.09,"FLAT UP","NOT FILL",-46.05,-145.96,35494,35740,246,35622.2,0.69
2021-06-04,Friday,35770,-11.9,-0.03,"FLAT DOWN","GAP FILL UP",190.8,1596.65,35350,35960.8,610.8,35508.5,1.72
2021-06-03,Thursday,35662.2,137.9,0.39,"MEDIUM GAP UP","NOT FILL",-109.2,-79.16,35553,35890,337,35781.95,0.94
2021-06-02,Wednesday,35380,-74.1,-0.21,"FLAT DOWN","GAP FILL UP",180,242.91,35180,35560,380,35524.25,1.07
2021-06-01,Tuesday,35677.95,75,0.21,"FLAT UP","NOT FILL",-364,-485.01,35313.95,35797.45,483.5,35454.1,1.36
2021-05-31,Monday,35280,-41.8,-0.12,"FLAT DOWN","GAP FILL UP",370,885.17,35063.15,35650,586.85,35602.9,1.65
2021-05-28,Friday,35499,403.9,1.15,"BIG GAP UP","NOT FILL",-349,-86.4,35150,35670,520,35321.8,1.47
2021-05-27,Thursday,34605.6,-118.3,-0.34,"MEDIUM GAP DOWN","GAP FILL UP",504.7,426.45,34522.05,35110.3,588.25,35095.05,1.68
2021-05-26,Wednesday,34810,51.9,0.15,"FLAT UP","NOT FILL",-307.85,-592.59,34502.15,34989.9,487.75,34723.95,1.4
2021-05-25,Tuesday,35149,150.9,0.43,"MEDIUM GAP UP","NOT FILL",-715,-473.82,34434,35193.95,759.95,34758.05,2.19
2021-05-24,Monday,34900,136.8,0.39,"MEDIUM GAP UP","NOT FILL",-344,-251.37,34556,35348,792,34998.1,2.26
