Date,Day_name,Open,Gap_Point,Gap_Point(%),Open_Gap_Type,Remarks,Gap_Fill_Point,Gap_Fill_Point%,Low,High,Day_Range,Close,Day_Range(%)
2020-01-31,Friday,30940,292.6,0.95,"BIG GAP UP","NOT FILL",-159.5,-54.51,30780.5,31125.7,345.2,30937.3,1.12
2020-01-30,Thursday,31280,374.5,1.21,"BIG GAP UP","NOT FILL",-766.55,-204.71,30513.45,31280,766.55,30647.4,2.5
2020-01-29,Wednesday,30960,188.4,0.61,"MEDIUM GAP UP","NOT FILL",-94,-49.89,30866,31109.05,243.05,30905.55,0.79
2020-01-28,Tuesday,30929.95,50.9,0.16,"FLAT UP","NOT FILL",-254.8,-500.59,30675.15,31070,394.85,30771.6,1.28
2020-01-27,Monday,31050.1,-280.2,-0.89,"BIG GAP DOWN","NOT FILL",189.8,67.73,30850,31239.9,389.9,30879.05,1.26
2020-01-24,Friday,31100.55,10.5,0.03,"FLAT UP","NOT FILL",-176.55,-1689.47,30924,31438,514,31330.35,1.64
2020-01-23,Thursday,30800,-2.8,-0.01,"FLAT DOWN","GAP FILL UP",370,12982.46,30680,31170,490,31090.1,1.58
2020-01-22,Wednesday,31150,107.2,0.35,"MEDIUM GAP UP","NOT FILL",-445,-415.11,30705,31230,525,30802.85,1.7
2020-01-21,Tuesday,31049.9,-131.9,-0.42,"MEDIUM GAP DOWN","GAP FILL UP",150.1,113.76,30920.95,31200,279.05,31042.8,0.9
2020-01-20,Monday,31997.65,273.9,0.86,"BIG GAP UP","NOT FILL",-871.55,-318.2,31126.1,31997.65,871.55,31181.85,2.8
2020-01-17,Friday,31660.25,-275.5,-0.86,"BIG GAP DOWN","GAP FILL UP",214.05,77.71,31540,31874.3,334.3,31723.75,1.05
2020-01-16,Thursday,31900,-43.8,-0.14,"FLAT DOWN","GAP FILL UP",154.05,351.31,31744.95,32054.05,309.1,31935.7,0.97
2020-01-15,Wednesday,32089,-80,-0.25,"FLAT DOWN","NOT FILL",16.5,20.61,31765.8,32105.5,339.7,31943.85,1.06
2020-01-14,Tuesday,32240,-2.2,-0.01,"FLAT DOWN","GAP FILL UP",20,888.89,32031.8,32260,228.2,32169.05,0.71
2020-01-13,Monday,32159.65,36.9,0.11,"FLAT UP","NOT FILL",-35.9,-97.29,32123.75,32380,256.25,32242.25,0.79
2020-01-10,Friday,32263.95,111.3,0.35,"MEDIUM GAP UP","NOT FILL",-283.95,-255.12,31980,32384.95,404.95,32122.75,1.26
2020-01-09,Thursday,31801,357,1.14,"BIG GAP UP","NOT FILL",-40.85,-11.44,31760.15,32200,439.85,32152.65,1.37
2020-01-08,Wednesday,31185,-307.8,-0.98,"BIG GAP DOWN","GAP FILL UP",356.2,115.72,30971.8,31541.2,569.4,31444.05,1.81
2020-01-07,Tuesday,31551.1,189,0.6,"MEDIUM GAP UP","NOT FILL",-351.1,-185.72,31200,31915.8,715.8,31492.8,2.27
2020-01-06,Monday,32000,-161.2,-0.5,"MEDIUM GAP DOWN","NOT FILL",23.85,14.8,31286,32023.85,737.85,31362.05,2.35
2020-01-03,Friday,32445.5,-133.7,-0.41,"MEDIUM GAP DOWN","NOT FILL",43.55,32.59,32060.2,32489.05,428.85,32161.2,1.33
2020-01-02,Thursday,32299,13.8,0.04,"FLAT UP","NOT FILL",-17.45,-126.45,32281.55,32606.05,324.5,32579.15,1
2020-01-01,Wednesday,32417.3,51.2,0.16,"FLAT UP","NOT FILL",-192.3,-375.22,32225,32495.75,270.75,32285.2,0.84
2019-12-31,Tuesday,32478.7,-75.3,-0.23,"FLAT DOWN","NOT FILL",43.2,57.33,32320,32521.9,201.9,32366.05,0.62
2019-12-30,Monday,32632.45,27.8,0.09,"FLAT UP","NOT FILL",-201.45,-725.95,32431,32773.85,342.85,32554.05,1.05
2019-12-27,Friday,32250.1,252.4,0.79,"BIG GAP UP","NOT FILL",-3.6,-1.43,32246.5,32633.75,387.25,32604.7,1.19
2019-12-26,Thursday,32269.95,-37.8,-0.12,"FLAT DOWN","GAP FILL UP",69.05,182.67,31945,32339,394,31997.7,1.23
2019-12-24,Tuesday,32304.95,-24.5,-0.08,"FLAT DOWN","GAP FILL UP",79.05,323.31,32270.45,32384,113.55,32307.75,0.35
2019-12-23,Monday,32349.95,-28.5,-0.09,"FLAT DOWN","GAP FILL UP",75.05,263.8,32220,32425,205,32329.4,0.63
2019-12-20,Friday,32227,-33.4,-0.1,"FLAT DOWN","GAP FILL UP",213,637.72,32180,32440,260,32378.4,0.8
2019-12-19,Thursday,32300,20.7,0.06,"FLAT UP","NOT FILL",-176.65,-853.38,32123.35,32345.4,222.05,32260.4,0.69
2019-12-18,Wednesday,32310.05,103.7,0.32,"FLAT UP","NOT FILL",-255.05,-245.95,32055,32343.95,288.95,32279.3,0.9
2019-12-17,Tuesday,32100.1,89.8,0.28,"FLAT UP","NOT FILL",-45.05,-50.17,32055.05,32285,229.95,32206.35,0.71
2019-12-16,Monday,32197.65,95,0.3,"FLAT UP","NOT FILL",-349.5,-368.09,31848.15,32205,356.85,32010.3,1.11
2019-12-13,Friday,31860.45,143.5,0.45,"MEDIUM GAP UP","NOT FILL",-55.1,-38.41,31805.35,32230,424.65,32102.7,1.32
2019-12-12,Thursday,31406.3,92,0.29,"FLAT UP","NOT FILL",-1.3,-1.41,31405,31745,340,31717,1.07
2019-12-11,Wednesday,31208.3,-18.2,-0.06,"FLAT DOWN","GAP FILL UP",187.45,1027.12,31065.3,31395.75,330.45,31314.25,1.06
2019-12-10,Tuesday,31440.1,42.4,0.14,"FLAT UP","NOT FILL",-251.75,-593.05,31188.35,31445,256.65,31226.55,0.82
2019-12-09,Monday,31374.9,-43.4,-0.14,"FLAT DOWN","GAP FILL UP",237.2,546.54,31201,31612.1,411.1,31397.65,1.31
2019-12-06,Friday,31799.95,37.5,0.12,"FLAT UP","NOT FILL",-476.95,-1273.56,31323,31925,602,31418.3,1.92
2019-12-05,Thursday,32110,29.1,0.09,"FLAT UP","NOT FILL",-405,-1391.75,31705,32179.95,474.95,31762.5,1.5
2019-12-04,Wednesday,31624.95,-86.2,-0.27,"FLAT DOWN","GAP FILL UP",500.05,579.77,31511.25,32125,613.75,32080.9,1.91
2019-12-03,Tuesday,31949.9,28.6,0.09,"FLAT UP","NOT FILL",-369.3,-1293.52,31580.6,31949.9,369.3,31711.2,1.16
2019-12-02,Monday,32079.95,76.1,0.24,"FLAT UP","NOT FILL",-317.65,-417.41,31762.3,32080,317.7,31921.35,1
2019-11-29,Friday,32100.5,-22.5,-0.07,"FLAT DOWN","GAP FILL UP",47.5,211.58,31820,32148,328,32003.85,1.02
2019-11-28,Thursday,31874.25,1.9,0.01,"FLAT UP","NOT FILL",0,0,31874.25,32143.3,269.05,32122.95,0.84
2019-11-27,Wednesday,31738.6,89.7,0.28,"FLAT UP","NOT FILL",-33.6,-37.46,31705,31898,193,31872.35,0.61
2019-11-26,Tuesday,31620.1,51.8,0.16,"FLAT UP","NOT FILL",-209.1,-403.28,31411,31791.85,380.85,31648.9,1.2
2019-11-25,Monday,31080.1,-34.6,-0.11,"FLAT DOWN","GAP FILL UP",509.9,1473.7,31049.05,31590,540.95,31568.25,1.71
2019-11-22,Friday,31248.2,-68.5,-0.22,"FLAT DOWN","GAP FILL UP",81.5,118.89,31023.35,31329.7,306.35,31114.7,0.98
2019-11-21,Thursday,31299.95,-21.3,-0.07,"FLAT DOWN","GAP FILL UP",144.95,680.52,31223.6,31444.9,221.3,31316.75,0.71
2019-11-20,Wednesday,31350,90.3,0.29,"FLAT UP","NOT FILL",-165.45,-183.12,31184.55,31434.4,249.85,31321.25,0.8
2019-11-19,Tuesday,31059.95,42.1,0.14,"FLAT UP","NOT FILL",-109.95,-261.16,30950,31315.85,365.85,31259.65,1.17
2019-11-18,Monday,31152,99.8,0.32,"FLAT UP","NOT FILL",-251.9,-252.4,30900.1,31182,281.9,31017.85,0.91
2019-11-15,Friday,30902.2,131.7,0.43,"MEDIUM GAP UP","NOT FILL",-42.6,-32.36,30859.6,31185,325.4,31052.2,1.05
2019-11-14,Thursday,30580,-5.6,-0.02,"FLAT DOWN","GAP FILL UP",250,4464.29,30361.35,30830,468.65,30770.55,1.52
2019-11-13,Wednesday,31083.95,-13.8,-0.04,"FLAT DOWN","GAP FILL UP",83.3,601.44,30538.8,31167.25,628.45,30585.6,2.05
2019-11-11,Monday,30700,-59,-0.19,"FLAT DOWN","GAP FILL UP",522.85,886.19,30610.05,31222.85,612.8,31097.8,1.97
2019-11-08,Friday,30630,-34.3,-0.11,"FLAT DOWN","GAP FILL UP",469,1365.36,30493.55,31099,605.45,30759,1.97
2019-11-07,Thursday,30801,118.4,0.39,"MEDIUM GAP UP","NOT FILL",-338,-285.47,30463,30848.95,385.95,30664.35,1.26
2019-11-06,Wednesday,30260.3,-33.9,-0.11,"FLAT DOWN","GAP FILL UP",519.7,1535.3,30052,30780,728,30682.6,2.37
2019-11-05,Tuesday,30420.05,24,0.08,"FLAT UP","NOT FILL",-264.95,-1103.96,30155.1,30519.9,364.8,30294.15,1.2
2019-11-04,Monday,30457.95,83.9,0.28,"FLAT UP","NOT FILL",-190.95,-227.73,30267,30658,391,30396.05,1.29
2019-11-01,Friday,30200.05,133.8,0.45,"MEDIUM GAP UP","NOT FILL",-136.95,-102.35,30063.1,30449.45,386.35,30374.1,1.27
2019-10-31,Thursday,30100.15,113.7,0.38,"MEDIUM GAP UP","NOT FILL",-347.9,-305.98,29752.25,30399.1,646.85,30066.25,2.15
2019-10-30,Wednesday,30015.4,115,0.38,"MEDIUM GAP UP","NOT FILL",-275.35,-239.54,29740.05,30151.4,411.35,29986.45,1.37
2019-10-29,Tuesday,29550.4,-45.5,-0.15,"FLAT DOWN","GAP FILL UP",489.6,1074.86,29355.1,30040,684.9,29900.45,2.29
2019-10-27,Sunday,29701.55,269.7,0.92,"BIG GAP UP","NOT FILL",-109.8,-40.71,29591.75,29764.9,173.15,29595.95,0.59
2019-10-25,Friday,29280.1,99.6,0.34,"MEDIUM GAP UP","NOT FILL",-367.5,-368.98,28912.6,29480,567.4,29431.85,1.93
2019-10-24,Thursday,29625,130.5,0.44,"MEDIUM GAP UP","NOT FILL",-604.05,-462.87,29020.95,29742.55,721.6,29180.5,2.47
2019-10-23,Wednesday,29400,-92.5,-0.31,"FLAT DOWN","GAP FILL UP",325,351.35,29122,29725,603,29494.5,2.04
2019-10-22,Tuesday,29397,244.7,0.84,"BIG GAP UP","NOT FILL",-545.6,-223.01,28851.4,29747,895.6,29492.5,3.04
2019-10-18,Friday,29029.6,-50.1,-0.17,"FLAT DOWN","GAP FILL UP",270.35,540.16,28903.05,29299.95,396.9,29152.35,1.36
2019-10-17,Thursday,28530.5,-74.2,-0.26,"FLAT DOWN","GAP FILL UP",619.5,834.34,28530.5,29150,619.5,29079.65,2.13
2019-10-16,Wednesday,28720.25,101.6,0.36,"MEDIUM GAP UP","NOT FILL",-399.1,-392.81,28321.15,28807,485.85,28604.75,1.7
2019-10-15,Tuesday,28300,90.2,0.32,"FLAT UP","NOT FILL",-49,-54.32,28251,28775,524,28618.65,1.83
2019-10-14,Monday,28317.95,179.4,0.64,"MEDIUM GAP UP","NOT FILL",-235.1,-131.08,28082.85,28790,707.15,28209.8,2.51
2019-10-11,Friday,28300,193.4,0.69,"MEDIUM GAP UP","NOT FILL",-495,-255.95,27805,28723,918,28138.6,3.26
2019-10-10,Thursday,28690,-184,-0.64,"MEDIUM GAP DOWN","NOT FILL",0,0,27980,28690,710,28106.6,2.53
2019-10-09,Wednesday,27870,-1.5,-0.01,"FLAT DOWN","GAP FILL UP",1119.95,72254.84,27774,28989.95,1215.95,28874.05,4.21
2019-10-07,Monday,27950,96.2,0.35,"MEDIUM GAP UP","NOT FILL",-297.8,-309.4,27652.2,28277,624.8,27871.55,2.24
2019-10-04,Friday,28801.05,230.2,0.81,"BIG GAP UP","NOT FILL",-1023.05,-444.42,27778,28860,1082,27853.75,3.88
2019-10-03,Thursday,28655.1,-219.6,-0.76,"BIG GAP DOWN","GAP FILL UP",264.7,120.56,28368.6,28919.8,551.2,28570.85,1.93
2019-10-01,Tuesday,29440,115.3,0.39,"MEDIUM GAP UP","NOT FILL",-1222,-1059.84,28218,29724,1506,28874.65,5.22
2019-09-30,Monday,29890.05,-190.9,-0.63,"MEDIUM GAP DOWN","NOT FILL",65.55,34.35,29103.5,29955.6,852.1,29324.7,2.91
2019-09-27,Friday,30201,198.4,0.66,"MEDIUM GAP UP","NOT FILL",-318.05,-160.31,29882.95,30340,457.05,30080.9,1.52
2019-09-26,Thursday,29678.65,41,0.14,"FLAT UP","NOT FILL",-2.25,-5.49,29676.4,30974.8,1298.4,30002.6,4.33
2019-09-25,Wednesday,30073.95,-176.2,-0.58,"MEDIUM GAP DOWN","NOT FILL",6.95,3.94,29511,30080.9,569.9,29637.65,1.92
2019-09-24,Tuesday,30514,-25.3,-0.08,"FLAT DOWN","GAP FILL UP",160.95,634.91,29923.25,30674.95,751.7,30250.15,2.48
2019-09-23,Monday,29996.5,1006.5,3.47,"BIG GAP UP","NOT FILL",-405.5,-40.29,29591,30734.95,1143.95,30539.35,3.75
2019-09-20,Friday,26859.95,78.1,0.29,"FLAT UP","NOT FILL",-109.35,-140.01,26750.6,29424.95,2674.35,28989.95,9.23
2019-09-19,Thursday,27175,-18,-0.07,"FLAT DOWN","NOT FILL",0.85,4.71,26683.1,27175.85,492.75,26781.85,1.84
2019-09-18,Wednesday,27325.05,184.9,0.68,"MEDIUM GAP UP","NOT FILL",-197.9,-107.03,27127.15,27470,342.85,27193.05,1.26
2019-09-17,Tuesday,27799.9,-90,-0.32,"FLAT DOWN","GAP FILL UP",82.1,91.22,27079,27882,803,27140.15,2.96
2019-09-16,Monday,27801.55,-362.3,-1.29,"BIG GAP DOWN","GAP FILL UP",293.45,81,27801.55,28095,293.45,27889.9,1.05
2019-09-13,Friday,27749.95,-74.5,-0.27,"FLAT DOWN","GAP FILL UP",450.05,604.09,27585.4,28200,614.6,28163.85,2.18
2019-09-12,Thursday,27855.65,25.5,0.09,"FLAT UP","NOT FILL",-85.15,-334.58,27770.5,28094.9,324.4,27824.45,1.17
2019-09-11,Wednesday,27660.55,109.2,0.4,"MEDIUM GAP UP","NOT FILL",-66.15,-60.58,27594.4,27897,302.6,27830.2,1.09
2019-09-09,Monday,27200,-106,-0.39,"MEDIUM GAP DOWN","GAP FILL UP",409,385.85,27035,27609,574,27551.35,2.08
2019-09-06,Friday,27025.05,30.9,0.11,"FLAT UP","NOT FILL",0,0,27025.05,27398,372.95,27306,1.37
2019-09-05,Thursday,27160.05,-59.2,-0.22,"FLAT DOWN","GAP FILL UP",174.95,295.52,26862.05,27335,472.95,26994.15,1.75
2019-09-04,Wednesday,26824.35,-49.2,-0.18,"FLAT DOWN","GAP FILL UP",556.55,1132.35,26712,27380.9,668.9,27219.25,2.46
2019-09-03,Tuesday,27321.05,-199.9,-0.73,"BIG GAP DOWN","NOT FILL",11.95,5.98,26802,27333,531,26873.5,1.98
2019-08-30,Friday,27501.15,196,0.72,"BIG GAP UP","NOT FILL",-349.65,-178.44,27151.5,27686,534.5,27520.9,1.94
2019-08-29,Thursday,27749.9,-87.8,-0.32,"FLAT DOWN","NOT FILL",0.1,0.11,27240,27750,510,27305.2,1.87
2019-08-28,Wednesday,28085.25,-31.2,-0.11,"FLAT DOWN","GAP FILL UP",32.9,105.28,27621.05,28118.15,497.1,27837.65,1.79
2019-08-27,Tuesday,28090,168.5,0.6,"MEDIUM GAP UP","NOT FILL",-173,-102.67,27917,28245.85,328.85,28116.5,1.17
2019-08-26,Monday,27624.4,608.4,2.25,"BIG GAP UP","NOT FILL",-802.4,-131.89,26822,27985,1163,27921.5,4.17
2019-08-23,Friday,26895,-126.8,-0.47,"MEDIUM GAP DOWN","GAP FILL UP",355,279.97,26615.6,27250,634.4,27016,2.35
2019-08-22,Thursday,27715,-24.8,-0.09,"FLAT DOWN","GAP FILL UP",31.05,125.2,26971,27746.05,775.05,27021.8,2.87
2019-08-21,Wednesday,28050.3,55.2,0.2,"FLAT UP","NOT FILL",-382.1,-691.58,27668.2,28129.95,461.75,27739.8,1.66
2019-08-20,Tuesday,28220.25,17.2,0.06,"FLAT UP","NOT FILL",-398.25,-2308.7,27822,28220.4,398.4,27995.05,1.42
2019-08-19,Monday,28335.1,74.5,0.26,"FLAT UP","NOT FILL",-213.05,-285.78,28122.05,28485.3,363.25,28203,1.29
2019-08-16,Friday,27950,-44.3,-0.16,"FLAT DOWN","GAP FILL UP",360,812.64,27750,28310,560,28260.55,1.98
2019-08-14,Wednesday,27850.15,112.4,0.41,"MEDIUM GAP UP","NOT FILL",-91.15,-81.13,27759,28149,390,27994.3,1.39
2019-08-13,Tuesday,28399.95,-74.1,-0.26,"FLAT DOWN","GAP FILL UP",90.05,121.44,27682.5,28490,807.5,27737.8,2.91
2019-08-09,Friday,28400.05,160.1,0.57,"MEDIUM GAP UP","NOT FILL",-69.5,-43.4,28330.55,28625,294.45,28474.1,1.03
2019-08-08,Thursday,27813.1,64.6,0.23,"FLAT UP","NOT FILL",-201.7,-311.99,27611.4,28370,758.6,28239.9,2.69
2019-08-07,Wednesday,28098.9,-10.8,-0.04,"FLAT DOWN","GAP FILL UP",143.1,1318.89,27690.3,28242,551.7,27748.45,1.99
2019-08-06,Tuesday,27651.1,-144.7,-0.52,"MEDIUM GAP DOWN","GAP FILL UP",588.9,407.12,27651,28240,589,28109.75,2.1
2019-08-05,Monday,27825,-502.3,-1.77,"BIG GAP DOWN","NOT FILL",190.6,37.95,27510,28015.6,505.6,27795.75,1.82
2019-08-02,Friday,28244.4,-254.9,-0.89,"BIG GAP DOWN","GAP FILL UP",440.55,172.83,28050.9,28684.95,634.05,28327.3,2.24
2019-08-01,Thursday,28805.65,-166.7,-0.58,"MEDIUM GAP DOWN","GAP FILL UP",118.35,71,28140.55,28924,783.45,28499.3,2.75
2019-07-31,Wednesday,28685,-168.4,-0.58,"MEDIUM GAP DOWN","GAP FILL UP",392.95,233.34,28655.85,29077.95,422.1,28972.35,1.46
2019-07-30,Tuesday,29500.05,126.9,0.43,"MEDIUM GAP UP","NOT FILL",-698.95,-550.79,28801.1,29588.15,787.05,28853.4,2.73
2019-07-29,Monday,29645.9,180.2,0.61,"MEDIUM GAP UP","NOT FILL",-449.9,-249.6,29196,29680,484,29373.15,1.65
2019-07-26,Friday,29265.5,222.5,0.77,"BIG GAP UP","NOT FILL",-139.9,-62.89,29125.6,29510,384.4,29465.65,1.3
2019-07-25,Thursday,28998.45,22,0.08,"FLAT UP","NOT FILL",-78.45,-355.78,28920,29237.8,317.8,29043.05,1.09
2019-07-24,Wednesday,29150.75,-44,-0.15,"FLAT DOWN","GAP FILL UP",141.25,321.39,28928,29292,364,28976.4,1.26
2019-07-23,Tuesday,29414.9,25.2,0.09,"FLAT UP","NOT FILL",-287.25,-1137.62,29127.65,29439.35,311.7,29194.7,1.07
2019-07-22,Monday,29650,-131.3,-0.44,"MEDIUM GAP DOWN","NOT FILL",48.65,37.04,29265,29698.65,433.65,29389.65,1.48
2019-07-19,Friday,30520,71.3,0.23,"FLAT UP","NOT FILL",-793.95,-1112.75,29726.05,30534.65,808.6,29781.35,2.72
2019-07-18,Thursday,30686.95,-50.8,-0.17,"FLAT DOWN","GAP FILL UP",58.05,114.27,30410.55,30745,334.45,30448.65,1.1
2019-07-17,Wednesday,30574,-16.6,-0.05,"FLAT DOWN","GAP FILL UP",204,1228.92,30542,30778,236,30737.75,0.77
2019-07-16,Tuesday,30510.05,53.5,0.18,"FLAT UP","NOT FILL",-81.8,-152.75,30428.25,30650,221.75,30590.6,0.72
2019-07-15,Monday,30697.5,97,0.32,"FLAT UP","NOT FILL",-373.9,-385.46,30323.6,30699.95,376.35,30456.5,1.24
2019-07-12,Friday,30747.95,30.9,0.1,"FLAT UP","NOT FILL",-185.95,-602.76,30562,30848.8,286.8,30600.5,0.94
2019-07-11,Thursday,30699,191.3,0.63,"MEDIUM GAP UP","NOT FILL",-98.95,-51.73,30600.05,30831.7,231.65,30717.1,0.75
2019-07-10,Wednesday,30669.95,30.3,0.1,"FLAT UP","NOT FILL",-257.95,-851.32,30412,30793.85,381.85,30507.7,1.25
2019-07-09,Tuesday,30606,-83.2,-0.27,"FLAT DOWN","GAP FILL UP",174,209.26,30451,30780,329,30639.65,1.07
2019-07-08,Monday,31310,-193.3,-0.61,"MEDIUM GAP DOWN","NOT FILL",63,32.59,30606,31373,767,30689.15,2.5
2019-07-05,Friday,31568.95,20.8,0.07,"FLAT UP","NOT FILL",-215.4,-1038.07,31353.55,31727.6,374.05,31503.3,1.19
2019-07-04,Thursday,31525.6,29.7,0.09,"FLAT UP","NOT FILL",-25.55,-86.03,31500.05,31689.75,189.7,31548.2,0.6
2019-07-03,Wednesday,31410,6.1,0.02,"FLAT UP","NOT FILL",-52.4,-859.02,31357.6,31570.25,212.65,31495.9,0.68
2019-07-02,Tuesday,31530.05,33.8,0.11,"FLAT UP","NOT FILL",-353.3,-1046.81,31176.75,31530.05,353.3,31403.9,1.13
2019-07-01,Monday,31400.25,132.8,0.42,"MEDIUM GAP UP","NOT FILL",-49.1,-36.97,31351.15,31559.85,208.7,31496.3,0.66
2019-06-28,Friday,31333.4,63.9,0.2,"FLAT UP","NOT FILL",-125.8,-196.87,31207.6,31422.1,214.5,31267.45,0.69
2019-06-27,Thursday,31250.05,77.5,0.25,"FLAT UP","NOT FILL",-110.8,-143.06,31139.25,31480,340.75,31269.5,1.09
2019-06-26,Wednesday,30790,-88.6,-0.29,"FLAT DOWN","GAP FILL UP",419.15,473.08,30779.35,31209.15,429.8,31172.6,1.38
2019-06-25,Tuesday,30589.95,-41.3,-0.13,"FLAT DOWN","GAP FILL UP",360.05,871.79,30480,30950,470,30878.6,1.52
2019-06-24,Monday,30675.05,37,0.12,"FLAT UP","NOT FILL",-141.4,-382.68,30533.65,30768,234.35,30631.25,0.77
2019-06-21,Friday,30699.95,-68.1,-0.22,"FLAT DOWN","GAP FILL UP",99.95,146.77,30515,30799.9,284.9,30638.1,0.93
2019-06-20,Thursday,30377.85,27.6,0.09,"FLAT UP","NOT FILL",-101.85,-368.35,30276,30809,533,30768.05,1.73
2019-06-19,Wednesday,30506.35,175.3,0.58,"MEDIUM GAP UP","NOT FILL",-292.45,-166.78,30213.9,30663.05,449.15,30350.2,1.48
2019-06-18,Tuesday,30349.95,24,0.08,"FLAT UP","NOT FILL",-149.95,-624.79,30200,30584,384,30331,1.27
2019-06-17,Monday,30599,-12.4,-0.04,"FLAT DOWN","GAP FILL UP",15.45,124.6,30306,30614.45,308.45,30325.95,1.02
2019-06-14,Friday,30955.1,-70.2,-0.23,"FLAT DOWN","GAP FILL UP",86.9,123.88,30503.15,31042,538.85,30611.4,1.76
2019-06-13,Thursday,30888,-117.5,-0.38,"MEDIUM GAP DOWN","GAP FILL UP",202.7,172.51,30665,31090.7,425.7,31025.25,1.37
2019-06-12,Wednesday,31220,-26.9,-0.09,"FLAT DOWN","GAP FILL UP",20,74.35,30906.2,31240,333.8,31005.5,1.08
2019-06-11,Tuesday,31200,155.3,0.5,"MEDIUM GAP UP","NOT FILL",-225.1,-144.95,30974.9,31374.9,400,31246.9,1.28
2019-06-10,Monday,31296.3,181.2,0.58,"MEDIUM GAP UP","NOT FILL",-430.3,-237.41,30866,31391.65,525.65,31044.7,1.69
2019-06-07,Friday,31018,78.8,0.25,"FLAT UP","NOT FILL",-347.65,-441.46,30670.35,31187.95,517.6,31115.05,1.66
2019-06-06,Thursday,31599.95,-40.6,-0.13,"FLAT DOWN","NOT FILL",0,0,30883,31599.95,716.95,30939.25,2.32
2019-06-04,Tuesday,31597.95,-82,-0.26,"FLAT DOWN","GAP FILL UP",196,239.02,31571,31793.95,222.95,31640.6,0.7
2019-06-03,Monday,31326.85,2.1,0.01,"FLAT UP","NOT FILL",-76.85,-3659.52,31250,31718.75,468.75,31679.95,1.48
2019-05-31,Friday,31710.05,173,0.55,"MEDIUM GAP UP","NOT FILL",-1147.95,-663.75,30562.1,31815.45,1253.35,31324.75,4
2019-05-30,Thursday,31280,-37.2,-0.12,"FLAT DOWN","GAP FILL UP",362,971.81,31250,31642,392,31537.1,1.24
2019-05-29,Wednesday,31565.05,-64.3,-0.2,"FLAT DOWN","NOT FILL",13.45,20.92,31276.55,31578.5,301.95,31317.25,0.96
2019-05-28,Tuesday,31676.75,81.5,0.26,"FLAT UP","NOT FILL",-357.75,-438.96,31319,31699.15,380.15,31629.35,1.2
2019-05-27,Monday,31229.95,7.2,0.02,"FLAT UP","NOT FILL",-54.85,-767.13,31175.1,31649.95,474.85,31595.25,1.5
2019-05-24,Friday,30750.05,272.1,0.89,"BIG GAP UP","NOT FILL",-170,-62.47,30580.05,31315,734.95,31222.8,2.35
2019-05-23,Thursday,30900,294,0.96,"BIG GAP UP","NOT FILL",-567.25,-192.97,30332.75,31780,1447.25,30477.9,4.75
2019-05-22,Wednesday,30425.05,36.1,0.12,"FLAT UP","NOT FILL",-75.05,-207.89,30350,30769.9,419.9,30606.05,1.37
2019-05-21,Tuesday,30860,44.3,0.14,"FLAT UP","NOT FILL",-544.9,-1228.64,30315.1,30970.3,655.2,30388.95,2.16
2019-05-20,Monday,30185.05,701.6,2.38,"BIG GAP UP","NOT FILL",-124.55,-17.75,30060.5,30885.45,824.95,30815.65,2.68
2019-05-17,Friday,28934.95,-24.8,-0.09,"FLAT DOWN","GAP FILL UP",655.05,2641.33,28880.1,29590,709.9,29483.45,2.41
2019-05-16,Thursday,28639.95,-26.8,-0.09,"FLAT DOWN","GAP FILL UP",410.05,1527.19,28571,29050,479,28959.75,1.65
2019-05-15,Wednesday,29060.05,142.2,0.49,"MEDIUM GAP UP","NOT FILL",-465.4,-327.29,28594.65,29079,484.35,28666.8,1.69
2019-05-14,Tuesday,28751,-22,-0.08,"FLAT DOWN","GAP FILL UP",447,2027.21,28700,29198,498,28917.85,1.72
2019-05-13,Monday,29029.9,-58.2,-0.2,"FLAT DOWN","GAP FILL UP",50.1,86.01,28712.4,29080,367.6,28773.05,1.28
2019-05-10,Friday,28975,-20.2,-0.07,"FLAT DOWN","GAP FILL UP",283.8,1401.48,28946.55,29258.8,312.25,29088.15,1.07
2019-05-09,Thursday,29030,-115.7,-0.4,"MEDIUM GAP DOWN","GAP FILL UP",123.95,107.13,28902,29153.95,251.95,28995.25,0.87
2019-05-08,Wednesday,29349.85,-68.6,-0.23,"FLAT DOWN","GAP FILL UP",68.75,100.22,29115,29418.6,303.6,29145.7,1.04
2019-05-07,Tuesday,29915,106.3,0.36,"MEDIUM GAP UP","NOT FILL",-545,-512.7,29370,29945.85,575.85,29418.45,1.96
2019-05-06,Monday,29689.4,-371.3,-1.24,"BIG GAP DOWN","NOT FILL",190.6,51.33,29649,29880,231,29808.7,0.77
2019-05-03,Friday,29878.75,79.4,0.27,"FLAT UP","NOT FILL",-68.75,-86.59,29810,30237,427,30060.75,1.42
2019-05-02,Thursday,29785,-106.7,-0.36,"MEDIUM GAP DOWN","GAP FILL UP",262.1,245.64,29730.05,30047.1,317.05,29799.35,1.06
2019-04-30,Tuesday,30049.95,-128,-0.42,"MEDIUM GAP DOWN","NOT FILL",12.05,9.42,29662.8,30062,399.2,29891.7,1.34
2019-04-26,Friday,29851.1,289.8,0.98,"BIG GAP UP","NOT FILL",-116.2,-40.1,29734.9,30229.7,494.8,30177.9,1.64
2019-04-25,Thursday,29889.95,-0.4,-0,"FLAT DOWN","GAP FILL UP",170.05,42512.5,29511,30060,549,29561.35,1.86
2019-04-24,Wednesday,29549.4,24.2,0.08,"FLAT UP","NOT FILL",-122.8,-508.49,29426.6,29958,531.4,29890.35,1.78
