Date,Open,High,Low,Close,Volume
1/15/2021,32600,32610,32105,32314.05,4.96
1/14/2021,32600,32861.4,32562.1,32647.8,3.34
1/13/2021,32603,32758.15,32251.85,32685.15,5.77
1/12/2021,31849.95,32508.9,31810,32455.05,4.32
1/11/2021,32480,32480,31888,32096.25,4.09
1/8/2021,32305.1,32337.95,32080.2,32172.7,3.42
1/7/2021,32106.05,32294.95,32034.05,32078.75,4.05
1/6/2021,31875,32089.7,31662.5,31903.1,5.02
1/5/2021,31130,31844,31011.1,31798.75,5.38
1/4/2021,31450.25,31599,30930.8,31326.55,5.36
1/1/2021,31250,31425,31250,31309.35,2.4
12/31/2020,31283.95,31427.9,31079.05,31264.05,3.38
12/30/2020,31489,31549.45,31030,31338.25,4.1
12/29/2020,31060.05,31417,31022,31360.1,4.11
12/28/2020,30552.05,30975.4,30552.05,30928.3,3.1
12/24/2020,30041.05,30576.9,30021.6,30437.2,4.93
12/23/2020,29580.25,29950,29472.3,29908.5,4.38
12/22/2020,29515,29760,29000.1,29646.6,7.21
12/21/2020,30375,30597.75,29222,29417.95,7.95
12/18/2020,30797.95,30865.45,30380.1,30735.75,5.12
12/17/2020,30841.85,30998,30652.25,30844.4,3.7
12/16/2020,30823.6,30925,30526.6,30770.5,4.11
12/15/2020,30700,30780.6,30343.95,30706.6,4.68
12/14/2020,30702.35,30890,30656.1,30788.4,4.07
12/11/2020,30674.95,30865,30337,30609.25,5.73
12/10/2020,30580,30690,30255,30621.75,5.1
12/9/2020,30400,30877,30355,30763.65,4.43
12/8/2020,30339.95,30449.9,30104.25,30314,5.17
12/7/2020,30165.2,30443.95,30021,30290.55,4.89
12/4/2020,29350,30276.95,29350,30190.95,6.92
12/3/2020,29543.05,29890,29436.65,29542.2,5.3
12/2/2020,29865.55,29912,29202,29603,6.12
12/1/2020,29785.15,29990,29525.95,29892.2,4.29
11/27/2020,29649.95,29780,29381.85,29667.2,6.7
11/26/2020,29300.05,29626.8,28901.1,29549.75,7.35
11/25/2020,29953,30190,29148.2,29208.7,9.91
11/24/2020,29200,29783,29151.15,29729.9,6.67
11/23/2020,29430,29641,28802.2,29010.4,8.73
11/20/2020,28949.2,29412,28562.15,29244.9,9.99
11/19/2020,29375.5,29608,28820,28912.05,8.23
11/18/2020,29049.95,29790,29037,29756.4,7.23
11/17/2020,28750,29213,28707,29151.9,7.22
11/14/2020,28660.15,28720,28461.25,28520,972.95
